channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
211,103.7245873591,1450.0,1446.4583333333333,38.0798343578622,0.000849671079322339,1702374.4464587,44817.1478170506
212,104.22421574239999,1474.0,1469.8958333333333,38.39382116268478,0.0008524579694903253,1724302.9990231271,45038.960906940665
213,104.72384425989999,1460.0,1456.6666666666667,38.21085506036791,0.0008551850561210126,1703335.0340262982,44681.38771470873
214,105.2234729116,1481.0,1477.375,38.484744001140676,0.0008578534065390207,1722176.5265937655,44861.67882273268
215,105.7231016975,1458.0,1453.9583333333333,38.18486874913791,0.0008604640661046633,1689737.422639192,44377.06378838284
216,106.22273061759999,1538.0,1534.2916666666667,39.218328074312964,0.0008630180587460947,1777821.0445513574,45443.22992649131
217,106.7223596719,1454.0,1450.2083333333333,38.132387717733536,0.0008655163874767341,1675541.161688653,44057.383857169974
218,107.2219888604,1516.0,1512.0,38.93691478960979,0.0008679600348978652,1742015.691054163,44860.26225181161
219,107.72161818309999,1550.0,1546.375,39.370998473919016,0.0008703499636874949,1776727.827330888,45235.82480214297
220,108.22124763999999,1484.0,1480.4166666666667,38.52368950110799,0.0008726871170753539,1696388.817595937,44143.7586820496
221,108.72087723109999,1529.0,1524.9166666666667,39.10351735387041,0.0008749724193048831,1742816.8397332204,44691.1428190342
222,109.22050695639999,1541.0,1537.25,39.25656792181405,0.0008772067760823692,1752437.4433875247,44751.783720977415
223,109.72013681589999,1474.0,1470.25,38.39372507324602,0.000879391075013837,1671895.5215424104,43659.44363563378
224,110.21976680959999,1486.0,1482.1041666666667,38.54972325704095,0.0008815261860298175,1681293.409265252,43730.66151404947
225,110.7193969375,1471.0,1466.9791666666667,38.35470984587305,0.0008836129617987345,1660205.5765234563,43406.68539741195
226,111.21902719959999,1460.0,1455.8541666666667,38.21107655546723,0.0008856522381288553,1643821.4730225203,43144.560483691595
227,111.7186575959,1438.0,1434.2083333333333,37.92201198585797,0.0008876448343594966,1615745.7102403168,42722.05562174154
228,112.2182881264,1545.0,1541.0833333333333,39.30752596160463,0.0008895915537417361,1732349.3313884775,44186.03773414006
229,112.7179187911,1489.0,1484.8958333333333,38.588670662154485,0.0008914931838087072,1665627.803220485,43285.43545032272
230,113.21754959,1531.0,1527.1041666666667,39.12903222920858,0.00089335049673619,1709412.1201542541,43800.31395534505
231,113.7171805231,1435.0,1430.9791666666667,37.882499486716966,0.0008951642496935391,1598566.0365196273,42319.04871054234
232,114.2168115904,1527.0,1522.4375,39.07806356619188,0.0008969351851852373,1697377.385954128,43568.43639501262
233,114.71644279190001,1510.0,1505.9166666666667,38.859813039236876,0.0008986640313835173,1675728.2077355068,43241.75852394043
234,115.21607412759998,1505.0,1501.0625,38.795386726387974,0.0009003515024522008,1667196.0849864753,43089.156424712695
235,115.71570559749999,1561.0,1556.8958333333333,39.510574577854754,0.0009019982988620408,1726051.850981881,43803.3803696761
236,116.2153372016,1497.0,1493.3333333333333,38.692071395686334,0.0009036051076978286,1652639.3228763307,42819.66875360472
237,116.71496893989999,1568.0,1564.375,39.598933329489235,0.0009051726029575027,1728261.543587004,43747.383869226964
238,117.2146008124,1556.0,1552.125,39.44718911616729,0.0009067014458435612,1711836.9085161884,43506.2602987989
239,117.71423281909999,1567.0,1563.3125,39.58632115916642,0.0009081922850468667,1721345.276478897,43588.03946140502
240,118.21386496,1522.0,1518.0625,39.0138697292386,0.0009096457570232165,1668850.1961112926,42889.080093013465
241,118.7134972351,1527.0,1523.2708333333333,39.077841431842444,0.0009110624862628241,1671971.8529755145,42892.602890653136
242,119.2131296444,1545.0,1541.0416666666667,39.307537003452374,0.0009124430855528876,1688918.1265841748,43079.43983118058
243,119.7127621879,1526.0,1521.7916666666667,39.065172130826596,0.0009137881562335184,1665365.934418801,42750.7971780316
244,120.2123948656,1593.0,1589.0416666666667,39.91343715188881,0.0009150982884471624,1736471.0290990975,43616.557538992056
245,120.7120276775,1614.0,1610.0416666666667,40.17564517562571,0.0009163740613817055,1756969.9258390747,43841.97116519101
