Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
550,0.0758851,0.421424,0.420991
551,0.0757686,0.420991,0.420558
552,0.0756524,0.420558,0.420127
553,0.0755366,0.420127,0.419697
554,0.075421,0.419697,0.419269
555,0.0753057,0.419269,0.418841
556,0.0751908,0.418841,0.418415
557,0.0750761,0.418415,0.417991
558,0.0749618,0.417991,0.417567
559,0.0748477,0.417567,0.417145
560,0.0747339,0.417145,0.416724
561,0.0746205,0.416724,0.416305
562,0.0745073,0.416305,0.415886
563,0.0743945,0.415886,0.415469
564,0.0742819,0.415469,0.415053
565,0.0741696,0.415053,0.414639
566,0.0740577,0.414639,0.414225
567,0.073946,0.414225,0.413813
568,0.0738346,0.413813,0.413402
569,0.0737235,0.413402,0.412992
570,0.0736127,0.412992,0.412584
571,0.0735022,0.412584,0.412176
572,0.073392,0.412176,0.41177
573,0.073282,0.41177,0.411365
574,0.0731724,0.411365,0.410961
575,0.073063,0.410961,0.410558
576,0.0729539,0.410558,0.410157
577,0.0728451,0.410157,0.409756
578,0.0727366,0.409756,0.409357
579,0.0726284,0.409357,0.408959
580,0.0725204,0.408959,0.408561
581,0.0724128,0.408561,0.408166
582,0.0723054,0.408166,0.407771
583,0.0721983,0.407771,0.407377
584,0.0720915,0.407377,0.406984
585,0.0719849,0.406984,0.406593
586,0.0718786,0.406593,0.406203
587,0.0717726,0.406203,0.405813
588,0.0716669,0.405813,0.405425
589,0.0715615,0.405425,0.405038
590,0.0714563,0.405038,0.404652
591,0.0713514,0.404652,0.404267
592,0.0712468,0.404267,0.403883
593,0.0711424,0.403883,0.4035
594,0.0710383,0.4035,0.403118
595,0.0709345,0.403118,0.402737
596,0.070831,0.402737,0.402357
597,0.0707277,0.402357,0.401979
598,0.0706247,0.401979,0.401601
599,0.0705219,0.401601,0.401224
600,0.0704194,0.401224,0.400849
601,0.0703172,0.400849,0.400474
602,0.0702153,0.400474,0.4001
603,0.0701136,0.4001,0.399728
604,0.0700121,0.399728,0.399356
605,0.069911,0.399356,0.398985
606,0.0698101,0.398985,0.398616
607,0.0697094,0.398616,0.398247
608,0.069609,0.398247,0.397879
609,0.0695089,0.397879,0.397513
610,0.069409,0.397513,0.397147
611,0.0693094,0.397147,0.396782
612,0.06921,0.396782,0.396418
613,0.0691109,0.396418,0.396055
614,0.0690121,0.396055,0.395693
615,0.0689135,0.395693,0.395332
616,0.0688151,0.395332,0.394972
617,0.068717,0.394972,0.394613
618,0.0686192,0.394613,0.394255
619,0.0685216,0.394255,0.393898
620,0.0684242,0.393898,0.393541
621,0.0683271,0.393541,0.393186
622,0.0682303,0.393186,0.392831
623,0.0681337,0.392831,0.392478
624,0.0680373,0.392478,0.392125
625,0.0679412,0.392125,0.391773
626,0.0678454,0.391773,0.391422
627,0.0677497,0.391422,0.391072
628,0.0676544,0.391072,0.390723
629,0.0675592,0.390723,0.390375
630,0.0674644,0.390375,0.390028
631,0.0673697,0.390028,0.389681
632,0.0672753,0.389681,0.389336
633,0.0671811,0.389336,0.388991
634,0.0670872,0.388991,0.388647
635,0.0669935,0.388647,0.388304
636,0.0669001,0.388304,0.387962
637,0.0668069,0.387962,0.38762
638,0.0667139,0.38762,0.38728
639,0.0666212,0.38728,0.38694
640,0.0665287,0.38694,0.386602
641,0.0664364,0.386602,0.386264
642,0.0663443,0.386264,0.385926
643,0.0662525,0.385926,0.38559
644,0.066161,0.38559,0.385255
645,0.0660696,0.385255,0.38492
646,0.0659785,0.38492,0.384586
